گروه های هزینه,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380
جمع کل هزینه ناخالص,5214226,6376620,8138244,10905688,13612602,17167187,20630996,25271337,30253120,35037726
1- خوراکیها،آشامیدنیها و دخانیات,1793737,2147058,2764713,3965613,4660444,5306871,6444447,7696251,9048315,10067005
خوراکی ها و آشامیدنی ها,1735588,2087290,2678432,3849485,4528662,5168647,6287515,7508710,8856352,9851794
دخانیات,58149,59768,86281,116128,131782,138224,156932,187541,191963,215211
2- پوشاک و کفش,503148,552798,684804,1036576,1290681,1565359,1598756,1891582,2165698,2407093
3- مسکن ، آب ، برق و سوخت,1469608,1777622,2152433,2759104,3724625,4534299,5623710,6727263,7855376,9377318
4- لوازم، اثاث وخدمات مورد استفاده درخانه,353456,430861,536843,670705,842304,1174632,1307868,1571781,1940629,2201868
5- درمان و بهداشت,203286,321261,405610,454147,562047,744750,903670,1156669,1299932,1698061
6- حمل و نقل و ارتباطات,435662,552357,811160,983048,1179983,1914119,2488459,3368418,4217310,4803184
حمل و نقل,407000,512197,746879,894257,1062361,1778183,2312592,3127691,3914978,4323302
ارتباطات,28662,40160,64281,88791,117622,135936,175867,240727,302332,479882
7- تفریح،سرگرمی،تحصیل وخدمات فرهنگی,119465,163588,205650,259674,368073,570180,678200,824368,1118864,1410224
تفریح و سرگرمی,76888,88387,95181,108702,150802,274296,315003,377358,544640,683346
تحصیل و خدمات فرهنگی,42577,75201,110469,150972,217271,295884,363197,447010,574224,726878
8- کالاها و خدمات متفرقه,335864,431075,577031,776821,984445,1356977,1585886,2035005,2606996,3072973
