سال,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390
مجموع درآمد پولی و غیرپولی ناخالص,40253287,46130551,55662290,66517276,77553685,96764463,113182171,123948935,136813582,167196835
درآمد پولی ناخالص,29887788,33983082,41697965,50840987,57783811,68874365,79627525,88961431,100305593,123615147
1- درآمد از مزد و حقوق بخش دولتی و عمومی,7576145,7524290,9756801,12030928,13334659,14818948,16006398,16801840,18638207,20032753
2- درآمد از مزد و حقوق بخش خصوصی,4784578,5864394,7273960,8930187,10261832,12973993,15620739,17156468,19849513,24607641
3- درآمد از مزد و حقوق بخش تعاونی,"","","","","","","","","",268297
4- درآمد از مشاغل آزاد کشاورزی,660400,743090,1239985,1108494,1618133,1944475,1643473,1321248,1758240,1947448
5- درآمد از مشاغل آزاد غیرکشاورزی,9617927,11141388,13370182,16870189,18359553,22039803,24154156,24617781,27463037,29887017
6- درآمدهای متفرقه,5056317,6363480,7200300,8501813,11046375,13493376,17978341,24525187,27926915,41544349
7- درآمد حاصل از فروش کالاهای دست دوم,2192421,2346440,2856737,3399376,3163259,3603770,4224418,4538907,4669681,5327642
درآمد غیرپولی,10365499,12147469,13964325,15676289,19769874,27890098,33554646,34987504,36507989,43581688
1- ارزش اجاری مسکن شخصی (مالکنشین),8299933,9753330,10973943,12242323,15514652,22105812,26243439,27629470,28323639,32360415
2- سایر,2065566,2394139,2990382,3433966,4255222,5784286,7311207,7358034,8184350,11221273
