سال,کل,کمتر از 1 سال,1 تا 5 سال,6 تا 10 سال,11 تا 15 سال,16 تا 20 سال,21 تا 30 سال,31 تا 40 سال,41 تا 50 سال,51 تا 60 سال,61 تا 70 سال,71 سال و بیشتر
1381,100,0.5,6.4,8.3,13.1,14.9,17.1,13,12.1,6.7,4.7,3.2
1382,100,0.4,6,7.4,12.1,15.1,18.7,12.3,12.4,7.4,4.8,3.4
1383,100,0.7,6.8,7.8,11.1,13.9,20,14.4,11.7,6.8,4,2.8
1384,100,0.7,6.6,7.4,9.9,13.6,20.9,14.4,12.4,7.1,3.9,3.1
1385,100,0.6,6.7,7.2,9.7,13.2,21.1,14.6,12,7.9,3.9,3.1
1386,100,0.6,6.4,7,8.8,12.5,21.8,14.3,12.7,8.2,4.2,3.5
1387,100,0.6,6.3,6.9,8.2,11.9,22.1,14.2,13.1,8.7,4.4,3.6
1388,100,0.6,5.7,6.7,7.6,11,22.5,13.8,13.3,9.6,5,4.2
1389,100,0.6,5.9,6.1,7.4,10.2,22.9,13.5,13.9,10.1,5.1,4.3
1390,100,0.7,6.7,6.6,7.2,9,22.5,15.6,13.1,9.6,5,4
