گروه های هزینه,1399,1400
خوراکیها، آشامیدنیها و دخانیات,263376087,417855638
خوراکیها و آشامیدنیها,259663866,411975439
1- آرد، رشته و غلات,24381091,38910479
برنج، آرد و رشته,23531672,37512066
سایر غلات و فرآورده های آن,849419,1398413
2- انواع نان و بیسکویت,13001900,20285216
انواع نان,8845819,12598033
بیسکویت ، کیک و کلوچه,4156081,7687183
3- انواع گوشت,62115905,91197346
گوشت دام,36216097,50524973
گوشت پرندگان,20165419,29570339
کله پاچه و سایر قطعات گوشت حیوانات و پرندگان,-,1065941
فرآورده های گوشت دام و پرندگان,908269,2112277
انواع ماهی,3975035,5801847
حیوانات دریایی و فرآوردههای آن,851085,2121969
4- شیر و فرآوردههای آن و تخم پرندگان,30950335,50556751
انواع شیر,7048862,10209670
فرآوردههای شیر,16663393,29019449
تخم پرندگان,7238080,10956111
5- روغنها و چربیها,7373695,11098290
انواع کره,2446529,3937857
روغنهای نباتی,4244332,6439358
روغنها و چربیهای حیوانی,682834,721075
6- میوههای تازه,49660513,76805095
میوههای درختی (بجز مرکبات),25596239,42929502
مرکبات,16240481,20839095
میوههای جالیزی,7823793,13036498
7- سبزیهای تازه,30733876,53068333
انواع سبزی های برگی,6058378,10466668
انواع سبزی های بوته ای و حبوبی تازه,16360991,27927007
انواع سبزی های ریشه ای و سایر و سبزیجات خشک و منجمد,8314507,14616599
8- خشکبار و آجیل,8187219,13955184
9- حبوب,7199861,12027490
10- انواع کنسرو، فرآوردههای سبزی و چیپس,3254776,5956787
11- قند و شکر,2220967,3773435
12- انواع شیرینی و مربا,7186582,11812809
13- انواع ادویه، سسها و سایر ترکیبات خوراکی,3088748,5914042
14- چای، قهوه و کاکایو,4173266,6239512
15- نوشابه، آبمیوه و شربت,6135132,10356994
16-خدمات آماده سازی اولیه مواد غذایی,-,17676
دخانیات,3712221,5880199
