Report_Year,Year,Pipe_Water,Electricity,Natural_Gas,Sewerage,Phone,Kitchen,Bathroom,AC,Central_Heating,Storage_Room,Internet,Social_Media_Access
1380,1371,96.2,99.7,33.8,,33.7,84.6,75.9,50.7,9.2,,,
1380,1372,96.9,99.8,41.5,,38.7,85.2,79.0,50.7,8.2,,,
1380,1373,96.8,99.8,48.8,,43.6,86.6,80.2,52.8,8.6,,,
1380,1374,97.7,99.7,54.0,,48.5,87.2,82.1,54.3,8.9,,,
1380,1375,97.8,99.9,59.0,,53.4,87.6,83.4,54.4,8.2,,,
1380,1376,97.4,99.8,58.2,15.4,53.5,87.4,85.3,54.4,9.7,,,
1380,1377,97.4,100.0,61.0,15.6,59.0,88.6,87.5,53.6,9.2,,,
1380,1378,97.8,99.9,63.4,16.7,64.6,89.4,89.3,54.3,10.0,,,
1380,1379,98.3,99.9,67.8,17.8,68.3,90.5,90.4,54.5,9.1,,,
1380,1380,98.6,99.9,72.6,19.3,72.1,91.2,92.0,56.4,9.7,,,
1390,1381,98.2,99.9,76.3,19.7,76.8,92.6,93.7,59.9,9.9,,,
1390,1382,98.3,99.8,80.1,21.2,80.3,92.2,93.8,60.0,9.1,,,
1390,1383,98.1,99.9,81.7,22.1,83.4,94.0,95.2,62.8,11.0,,,
1390,1384,98.1,99.9,85.6,24.9,88.1,94.9,96.0,64.4,10.7,36.4,,
1390,1385,97.8,99.9,87.1,25.8,91.1,94.8,96.2,66.6,10.3,39.4,,
1390,1386,98.9,99.8,88.5,28.4,92.2,95.7,97.1,68.4,10.6,40.1,,
1390,1387,98.7,99.9,89.2,29.1,91.8,96.1,97.6,69.9,9.7,40.7,,
1390,1388,98.5,99.6,90.4,33.2,91.1,96.6,98.0,70.8,10.4,41.1,,
1390,1389,99.0,99.8,91.5,35.6,88.2,96.7,98.3,72.0,9.8,41.7,22.3,
1390,1390,99.2,100.0,93.2,36.8,85.3,97.5,99.1,79.0,10.3,40.8,21.8,
1400,1391,99.3,100.0,92.8,38.7,83.5,97.5,99.2,77.2,12.8,40.3,21.2,
1400,1392,99.4,100.0,92.9,41.2,82.2,98.1,99.3,78.5,13.7,41.7,23.9,
1400,1393,99.5,100.0,92.8,43.5,80.8,98.2,99.5,79.6,13.6,40.6,28.4,
1400,1394,99.6,100.0,93.8,46.5,78.6,98.6,99.6,80.5,13.4,41.1,37.9,
1400,1395,99.4,100.0,94.4,51.7,77.1,98.9,99.7,80.9,19.4,44.0,50.5,
1400,1396,99.4,100.0,94.5,53.3,74.9,99.2,99.6,82.6,19.3,45.0,64.1,61.6
1400,1397,99.5,100.0,95.2,56.0,72.7,99.2,99.8,84.6,20.3,46.1,67.6,66.6
1400,1398,99.6,100.0,95.1,56.4,70.8,99.3,99.8,85.1,19.6,44.5,71.7,70.7
1400,1399,99.6,100.0,95.5,59.0,71.1,99.4,99.8,83.4,21.3,44.7,79.2,78.5
1400,1400,99.5,100.0,95.6,63.4,68.9,99.3,99.9,85.1,22.1,43.8,82.9,82.6
1402,1393,99.5,100.0,92.8,43.5,80.8,98.2,99.5,79.6,13.6,40.6,28.4,
1402,1394,99.6,100.0,93.8,46.5,78.6,98.6,99.6,80.5,13.4,41.1,37.9,
1402,1395,99.4,100.0,94.4,51.7,77.1,98.9,99.7,80.9,19.4,44.0,50.5,
1402,1396,99.4,100.0,94.5,53.3,74.9,99.2,99.6,82.6,19.3,45.0,64.1,61.6
1402,1397,99.5,100.0,95.2,56.0,72.7,99.2,99.8,84.6,20.3,46.1,67.6,66.6
1402,1398,99.6,100.0,95.1,56.4,70.8,99.3,99.8,85.1,19.6,44.5,71.7,70.7
1402,1399,99.6,100.0,95.5,59.0,71.1,99.4,99.8,83.4,21.3,44.7,79.2,78.5
1402,1400,99.5,100.0,95.6,63.4,68.9,99.3,99.9,85.1,22.1,43.8,82.9,82.6
1402,1401,99.5,100.0,95.8,65.4,64.1,99.4,99.9,84.8,24.0,44.3,85.7,85.5
1402,1402,99.6,100.0,96.7,66.1,61.4,99.4,99.9,84.8,24.5,44.1,87.0,86.8
1403,1394,99.6,100.0,93.8,46.5,78.6,98.6,99.6,80.5,13.4,41.1,37.9,
1403,1395,99.4,100.0,94.4,51.7,77.1,98.9,99.7,80.9,19.4,44.0,50.5,
1403,1396,99.4,100.0,94.5,53.3,74.9,99.2,99.6,82.6,19.3,45.0,64.1,61.6
1403,1397,99.5,100.0,95.2,56.0,72.7,99.2,99.8,84.6,20.3,46.1,67.6,66.6
1403,1398,99.6,100.0,95.1,56.4,70.8,99.3,99.8,85.1,19.6,44.5,71.7,70.7
1403,1399,99.6,100.0,95.5,59.0,71.1,99.4,99.8,83.4,21.3,44.7,79.2,78.5
1403,1400,99.5,100.0,95.6,63.4,68.9,99.3,99.9,85.1,22.1,43.8,82.9,82.6
1403,1401,99.5,100.0,95.8,65.4,64.1,99.4,99.9,84.8,24.0,44.3,85.7,85.5
1403,1402,99.6,100.0,96.7,66.1,61.4,99.4,99.9,84.8,24.5,44.1,87.0,86.8
1403,1403,99.5,100.0,97.2,67.6,60.1,99.7,99.9,84.7,25.4,45.4,88.0,87.7
